course_id,title,platform,instructor,specialty,skills,level,duration,price,rating,language,certificate,url
19,PyTorch for Deep Learning Bootcamp (Beginner),Udemy,Jose Portilla,Artificial Intelligence & ML,Deep Learning|Machine Learning|Hugging Face,Beginner,22 hours,$14.99,4.7,English,Yes,https://www.udemy.com/course/pytorch-for-deep-learning-bootcamp/
20,PyTorch for Deep Learning Bootcamp (Intermediate),Udemy,Jose Portilla,Artificial Intelligence & ML,PyTorch|Scikit-learn|Keras|NLP,Intermediate,22 hours,$14.99,4.7,English,No,https://www.udemy.com/course/pytorch-for-deep-learning-bootcamp/
21,PyTorch for Deep Learning Bootcamp (Advanced),Udemy,Jose Portilla,Artificial Intelligence & ML,Machine Learning|NLP|Scikit-learn|TensorFlow|Keras,Advanced,22 hours,$14.99,4.6,English,No,https://www.udemy.com/course/pytorch-for-deep-learning-bootcamp/
22,Generative AI with LLMs (Beginner),Coursera,DeepLearning.AI & AWS,Artificial Intelligence & ML,Python|TensorFlow|PyTorch,Beginner,3 weeks,Free,4.8,English,Yes,https://www.coursera.org/learn/generative-ai-with-llms
23,Generative AI with LLMs (Intermediate),Coursera,DeepLearning.AI & AWS,Artificial Intelligence & ML,PyTorch|Machine Learning|TensorFlow|Scikit-learn|OpenCV,Intermediate,3 weeks,Free,4.8,English,Yes,https://www.coursera.org/learn/generative-ai-with-llms
24,Generative AI with LLMs (Advanced),Coursera,DeepLearning.AI & AWS,Artificial Intelligence & ML,Deep Learning|OpenCV|Keras|Hugging Face|Python,Advanced,3 weeks,Free,4.7,English,Yes,https://www.coursera.org/learn/generative-ai-with-llms
25,MLOps Specialization (Beginner),Coursera,DeepLearning.AI,Artificial Intelligence & ML,TensorFlow|OpenCV|Keras|Machine Learning|NLP,Beginner,4 months,Free,4.7,English,Yes,https://www.coursera.org/learn/mlops-specialization
26,MLOps Specialization (Intermediate),Coursera,DeepLearning.AI,Artificial Intelligence & ML,TensorFlow|Keras|Machine Learning|Hugging Face,Intermediate,4 months,Free,4.7,English,Yes,https://www.coursera.org/learn/mlops-specialization
27,MLOps Specialization (Advanced),Coursera,DeepLearning.AI,Artificial Intelligence & ML,Python|Keras|PyTorch|OpenCV,Advanced,4 months,Free,4.6,English,Yes,https://www.coursera.org/learn/mlops-specialization
28,Computer Vision with OpenCV (Beginner),Udemy,Jose Portilla,Artificial Intelligence & ML,Keras|OpenCV|Scikit-learn,Beginner,12 hours,$12.99,4.6,English,Yes,https://www.udemy.com/course/computer-vision-with-opencv/
29,Computer Vision with OpenCV (Intermediate),Udemy,Jose Portilla,Artificial Intelligence & ML,PyTorch|OpenCV|Python|Keras,Intermediate,12 hours,$12.99,4.6,English,No,https://www.udemy.com/course/computer-vision-with-opencv/
30,Computer Vision with OpenCV (Advanced),Udemy,Jose Portilla,Artificial Intelligence & ML,Python|TensorFlow|NLP|Machine Learning,Advanced,12 hours,$12.99,4.5,English,No,https://www.udemy.com/course/computer-vision-with-opencv/
31,Artificial Intelligence MicroMasters (Beginner),edX,Columbia University,Artificial Intelligence & ML,Python|Scikit-learn|TensorFlow,Beginner,5 months,Free,4.8,English,Yes,https://www.edx.org/course/artificial-intelligence-micromasters
32,Artificial Intelligence MicroMasters (Intermediate),edX,Columbia University,Artificial Intelligence & ML,Deep Learning|TensorFlow|PyTorch,Intermediate,5 months,Free,4.8,English,Yes,https://www.edx.org/course/artificial-intelligence-micromasters
33,Artificial Intelligence MicroMasters (Advanced),edX,Columbia University,Artificial Intelligence & ML,Deep Learning|OpenCV|PyTorch,Advanced,5 months,Free,4.7,English,Yes,https://www.edx.org/course/artificial-intelligence-micromasters
34,AI Engineering Professional Certificate (Beginner),edX,IBM,Artificial Intelligence & ML,OpenCV|Machine Learning|Scikit-learn|Keras,Beginner,4 months,Free,4.7,English,Yes,https://www.edx.org/course/ai-engineering-professional-certificate
35,AI Engineering Professional Certificate (Intermediate),edX,IBM,Artificial Intelligence & ML,Scikit-learn|Keras|Machine Learning|NLP|Deep Learning,Intermediate,4 months,Free,4.7,English,Yes,https://www.edx.org/course/ai-engineering-professional-certificate
36,AI Engineering Professional Certificate (Advanced),edX,IBM,Artificial Intelligence & ML,Deep Learning|OpenCV|Hugging Face|Python,Advanced,4 months,Free,4.6,English,Yes,https://www.edx.org/course/ai-engineering-professional-certificate
37,Machine Learning with Python (Beginner),edX,MIT,Artificial Intelligence & ML,Scikit-learn|TensorFlow|NLP,Beginner,10 weeks,Free,4.8,English,Yes,https://www.edx.org/course/machine-learning-with-python
38,Machine Learning with Python (Intermediate),edX,MIT,Artificial Intelligence & ML,Hugging Face|OpenCV|Scikit-learn,Intermediate,10 weeks,Free,4.8,English,Yes,https://www.edx.org/course/machine-learning-with-python
39,Machine Learning with Python (Advanced),edX,MIT,Artificial Intelligence & ML,Scikit-learn|Python|TensorFlow|NLP|Machine Learning,Advanced,10 weeks,Free,4.7,English,Yes,https://www.edx.org/course/machine-learning-with-python
40,Become an AI Engineer (Beginner),LinkedIn Learning,LinkedIn,Artificial Intelligence & ML,Scikit-learn|TensorFlow|Python,Beginner,20 hours,$39.99/mo,4.6,English,No,https://www.linkedin.com/learning/become-an-ai-engineer
41,Become an AI Engineer (Intermediate),LinkedIn Learning,LinkedIn,Artificial Intelligence & ML,OpenCV|Scikit-learn|Keras,Intermediate,20 hours,$39.99/mo,4.6,English,No,https://www.linkedin.com/learning/become-an-ai-engineer
42,Become an AI Engineer (Advanced),LinkedIn Learning,LinkedIn,Artificial Intelligence & ML,OpenCV|PyTorch|Deep Learning,Advanced,20 hours,$39.99/mo,4.5,English,Yes,https://www.linkedin.com/learning/become-an-ai-engineer
43,Hugging Face Transformers Course (Beginner),Udemy,Daniel Bourke,Artificial Intelligence & ML,Machine Learning|Scikit-learn|TensorFlow|Python,Beginner,18 hours,$14.99,4.7,English,No,https://www.udemy.com/course/hugging-face-transformers-course/
44,Hugging Face Transformers Course (Intermediate),Udemy,Daniel Bourke,Artificial Intelligence & ML,Machine Learning|Hugging Face|Deep Learning|OpenCV,Intermediate,18 hours,$14.99,4.7,English,Yes,https://www.udemy.com/course/hugging-face-transformers-course/
45,Hugging Face Transformers Course (Advanced),Udemy,Daniel Bourke,Artificial Intelligence & ML,TensorFlow|Python|Machine Learning|NLP|PyTorch,Advanced,18 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/hugging-face-transformers-course/
46,مقدمة في الذكاء الاصطناعي,Edraak,Edraak Team,Artificial Intelligence & ML,Scikit-learn|Hugging Face|OpenCV,Intermediate,8 ساعات,مجاني,4.7,Arabic,No,https://www.edraak.org/course/مقدمة-في-الذكاء-الاصطناعي
47,تعلم الآلة من الصفر,Udemy Arabia,محمد حمزة,Artificial Intelligence & ML,PyTorch|Machine Learning|Hugging Face,Intermediate,20 ساعة,99 جنيه,4.6,Arabic,No,https://www.udemy.com/ar/course/تعلم-الآلة-من-الصفر
48,الذكاء الاصطناعي وتعلم الآلة,Mahara-Tech,ITI Egypt,Artificial Intelligence & ML,Deep Learning|Scikit-learn|TensorFlow,Intermediate,40 ساعة,مجاني,4.8,Arabic,Yes,https://maharatech.gov.eg/course/الذكاء-الاصطناعي-وتعلم-الآلة
49,Python لعلوم البيانات والذكاء الاصطناعي,Udemy Arabia,أحمد العربي,Artificial Intelligence & ML,OpenCV|TensorFlow|Python,Beginner,30 ساعة,99 جنيه,4.6,Arabic,No,https://www.udemy.com/ar/course/Python-لعلوم-البيانات-والذكاء-
50,دبلومة الذكاء الاصطناعي,ITI,ITI Egypt,Artificial Intelligence & ML,TensorFlow|Scikit-learn|PyTorch,Intermediate,4 أشهر,مدفوع,4.9,Arabic,Yes,https://www.iti.gov.eg/دبلومة-الذكاء-الاصطناعي
51,مسار الذكاء الاصطناعي,Sprints,Sprints Egypt,Artificial Intelligence & ML,Deep Learning|Hugging Face|Scikit-learn,Intermediate,3 أشهر,مدفوع,4.8,Arabic,Yes,https://sprints.ai/مسار-الذكاء-الاصطناعي
52,Google Data Analytics Certificate (Beginner),Coursera,Google,Data Science,Power BI|Statistics|Python,Beginner,6 months,Free,4.8,English,Yes,https://www.coursera.org/learn/google-data-analytics-certificate
53,Google Data Analytics Certificate (Intermediate),Coursera,Google,Data Science,Pandas|Excel|Data Analysis|Tableau,Intermediate,6 months,Free,4.8,English,Yes,https://www.coursera.org/learn/google-data-analytics-certificate
54,Google Data Analytics Certificate (Advanced),Coursera,Google,Data Science,R|Excel|Power BI|SQL|Data Analysis,Advanced,6 months,Free,4.7,English,Yes,https://www.coursera.org/learn/google-data-analytics-certificate
55,IBM Data Science Professional Certificate (Beginner),Coursera,IBM,Data Science,Python|R|Data Analysis,Beginner,10 months,Free,4.6,English,Yes,https://www.coursera.org/learn/ibm-data-science-professional-certificate
56,IBM Data Science Professional Certificate (Intermediate),Coursera,IBM,Data Science,NumPy|Python|R|Pandas|Tableau,Intermediate,10 months,Free,4.6,English,Yes,https://www.coursera.org/learn/ibm-data-science-professional-certificate
57,IBM Data Science Professional Certificate (Advanced),Coursera,IBM,Data Science,R|Power BI|Python|Pandas|Excel,Advanced,10 months,Free,4.5,English,Yes,https://www.coursera.org/learn/ibm-data-science-professional-certificate
58,Data Science Specialization (Beginner),Coursera,Johns Hopkins,Data Science,SQL|Data Analysis|Tableau,Beginner,11 months,Free,4.5,English,Yes,https://www.coursera.org/learn/data-science-specialization
59,Data Science Specialization (Intermediate),Coursera,Johns Hopkins,Data Science,SQL|Tableau|Python|Pandas,Intermediate,11 months,Free,4.5,English,Yes,https://www.coursera.org/learn/data-science-specialization
60,Data Science Specialization (Advanced),Coursera,Johns Hopkins,Data Science,Statistics|R|NumPy,Advanced,11 months,Free,4.4,English,Yes,https://www.coursera.org/learn/data-science-specialization
61,Python for Data Science Bootcamp (Beginner),Udemy,Jose Portilla,Data Science,Tableau|NumPy|Data Analysis|Power BI,Beginner,25 hours,$14.99,4.6,English,No,https://www.udemy.com/course/python-for-data-science-bootcamp/
62,Python for Data Science Bootcamp (Intermediate),Udemy,Jose Portilla,Data Science,Pandas|Excel|NumPy,Intermediate,25 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/python-for-data-science-bootcamp/
63,Python for Data Science Bootcamp (Advanced),Udemy,Jose Portilla,Data Science,Excel|SQL|R,Advanced,25 hours,$14.99,4.5,English,Yes,https://www.udemy.com/course/python-for-data-science-bootcamp/
64,The Complete SQL Bootcamp (Beginner),Udemy,Jose Portilla,Data Science,Pandas|Power BI|NumPy|Python|SQL,Beginner,9 hours,$14.99,4.7,English,No,https://www.udemy.com/course/the-complete-sql-bootcamp/
65,The Complete SQL Bootcamp (Intermediate),Udemy,Jose Portilla,Data Science,Power BI|Excel|Pandas|R,Intermediate,9 hours,$14.99,4.7,English,Yes,https://www.udemy.com/course/the-complete-sql-bootcamp/
66,The Complete SQL Bootcamp (Advanced),Udemy,Jose Portilla,Data Science,R|Pandas|SQL|Excel|Power BI,Advanced,9 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/the-complete-sql-bootcamp/
67,Power BI Desktop Masterclass (Beginner),Udemy,Maven Analytics,Data Science,R|Power BI|Pandas,Beginner,11 hours,$14.99,4.7,English,No,https://www.udemy.com/course/power-bi-desktop-masterclass/
68,Power BI Desktop Masterclass (Intermediate),Udemy,Maven Analytics,Data Science,Tableau|NumPy|Data Analysis|R|Statistics,Intermediate,11 hours,$14.99,4.7,English,No,https://www.udemy.com/course/power-bi-desktop-masterclass/
69,Power BI Desktop Masterclass (Advanced),Udemy,Maven Analytics,Data Science,Excel|Pandas|Python|Data Analysis|NumPy,Advanced,11 hours,$14.99,4.6,English,No,https://www.udemy.com/course/power-bi-desktop-masterclass/
70,Tableau A-Z: Hands-On Training (Beginner),Udemy,Kirill Eremenko,Data Science,Python|Data Analysis|NumPy|Statistics,Beginner,9 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/tableau-a-z-hands-on-training/
71,Tableau A-Z: Hands-On Training (Intermediate),Udemy,Kirill Eremenko,Data Science,Pandas|Power BI|Excel|Data Analysis|NumPy,Intermediate,9 hours,$14.99,4.6,English,No,https://www.udemy.com/course/tableau-a-z-hands-on-training/
72,Tableau A-Z: Hands-On Training (Advanced),Udemy,Kirill Eremenko,Data Science,Python|SQL|R|NumPy|Excel,Advanced,9 hours,$14.99,4.5,English,Yes,https://www.udemy.com/course/tableau-a-z-hands-on-training/
73,Data Science MicroMasters (Beginner),edX,UC San Diego,Data Science,Data Analysis|R|Power BI|Tableau,Beginner,6 months,Free,4.7,English,Yes,https://www.edx.org/course/data-science-micromasters
74,Data Science MicroMasters (Intermediate),edX,UC San Diego,Data Science,Python|Pandas|NumPy,Intermediate,6 months,Free,4.7,English,Yes,https://www.edx.org/course/data-science-micromasters
75,Data Science MicroMasters (Advanced),edX,UC San Diego,Data Science,NumPy|Tableau|R,Advanced,6 months,Free,4.6,English,Yes,https://www.edx.org/course/data-science-micromasters
76,Data Analysis and Visualization (Beginner),edX,IBM,Data Science,SQL|NumPy|Statistics|Pandas|R,Beginner,4 months,Free,4.6,English,Yes,https://www.edx.org/course/data-analysis-and-visualization
77,Data Analysis and Visualization (Intermediate),edX,IBM,Data Science,Tableau|Power BI|R,Intermediate,4 months,Free,4.6,English,Yes,https://www.edx.org/course/data-analysis-and-visualization
78,Data Analysis and Visualization (Advanced),edX,IBM,Data Science,Python|Power BI|NumPy|Statistics,Advanced,4 months,Free,4.5,English,Yes,https://www.edx.org/course/data-analysis-and-visualization
79,Data Science Foundations (Beginner),LinkedIn Learning,LinkedIn,Data Science,Tableau|Pandas|Power BI|Statistics,Beginner,12 hours,$39.99/mo,4.5,English,Yes,https://www.linkedin.com/learning/data-science-foundations
80,Data Science Foundations (Intermediate),LinkedIn Learning,LinkedIn,Data Science,Python|Excel|Tableau|SQL,Intermediate,12 hours,$39.99/mo,4.5,English,No,https://www.linkedin.com/learning/data-science-foundations
81,Data Science Foundations (Advanced),LinkedIn Learning,LinkedIn,Data Science,Pandas|Tableau|R|Python,Advanced,12 hours,$39.99/mo,4.4,English,Yes,https://www.linkedin.com/learning/data-science-foundations
82,Excel Skills for Data Analytics (Beginner),Coursera,Macquarie University,Data Science,NumPy|Pandas|SQL|Statistics,Beginner,3 months,Free,4.7,English,Yes,https://www.coursera.org/learn/excel-skills-for-data-analytics
83,Excel Skills for Data Analytics (Intermediate),Coursera,Macquarie University,Data Science,NumPy|R|Statistics|Data Analysis,Intermediate,3 months,Free,4.7,English,Yes,https://www.coursera.org/learn/excel-skills-for-data-analytics
84,Excel Skills for Data Analytics (Advanced),Coursera,Macquarie University,Data Science,NumPy|Python|SQL|Power BI|Excel,Advanced,3 months,Free,4.6,English,Yes,https://www.coursera.org/learn/excel-skills-for-data-analytics
85,Apache Spark with Scala (Beginner),Udemy,Frank Kane,Data Science,Pandas|Python|SQL|Data Analysis|Tableau,Beginner,14 hours,$14.99,4.5,English,No,https://www.udemy.com/course/apache-spark-with-scala/
86,Apache Spark with Scala (Intermediate),Udemy,Frank Kane,Data Science,NumPy|Statistics|SQL|Tableau|Pandas,Intermediate,14 hours,$14.99,4.5,English,Yes,https://www.udemy.com/course/apache-spark-with-scala/
87,Apache Spark with Scala (Advanced),Udemy,Frank Kane,Data Science,Python|Statistics|Data Analysis|Pandas,Advanced,14 hours,$14.99,4.4,English,Yes,https://www.udemy.com/course/apache-spark-with-scala/
88,Statistics for Data Science (Beginner),edX,MIT,Data Science,Statistics|SQL|NumPy|Pandas,Beginner,18 weeks,Free,4.8,English,Yes,https://www.edx.org/course/statistics-for-data-science
89,Statistics for Data Science (Intermediate),edX,MIT,Data Science,SQL|Pandas|R|NumPy,Intermediate,18 weeks,Free,4.8,English,Yes,https://www.edx.org/course/statistics-for-data-science
90,Statistics for Data Science (Advanced),edX,MIT,Data Science,NumPy|Statistics|Pandas|Excel,Advanced,18 weeks,Free,4.7,English,Yes,https://www.edx.org/course/statistics-for-data-science
91,R Programming for Data Science (Beginner),Coursera,Johns Hopkins,Data Science,Tableau|Statistics|R,Beginner,4 weeks,Free,4.5,English,Yes,https://www.coursera.org/learn/r-programming-for-data-science
92,R Programming for Data Science (Intermediate),Coursera,Johns Hopkins,Data Science,Power BI|Pandas|Statistics|R|Python,Intermediate,4 weeks,Free,4.5,English,Yes,https://www.coursera.org/learn/r-programming-for-data-science
93,R Programming for Data Science (Advanced),Coursera,Johns Hopkins,Data Science,Pandas|Tableau|Statistics|Excel,Advanced,4 weeks,Free,4.4,English,Yes,https://www.coursera.org/learn/r-programming-for-data-science
94,Become a Data Analyst (Beginner),LinkedIn Learning,LinkedIn,Data Science,Data Analysis|NumPy|Excel|Tableau|Statistics,Beginner,15 hours,$39.99/mo,4.6,English,Yes,https://www.linkedin.com/learning/become-a-data-analyst
95,Become a Data Analyst (Intermediate),LinkedIn Learning,LinkedIn,Data Science,Excel|Power BI|SQL|R|Pandas,Intermediate,15 hours,$39.99/mo,4.6,English,No,https://www.linkedin.com/learning/become-a-data-analyst
96,Become a Data Analyst (Advanced),LinkedIn Learning,LinkedIn,Data Science,Tableau|Pandas|Data Analysis,Advanced,15 hours,$39.99/mo,4.5,English,Yes,https://www.linkedin.com/learning/become-a-data-analyst
97,تحليل البيانات باستخدام Python,Edraak,Edraak Team,Data Science,Power BI|Python|R,Beginner,10 ساعات,مجاني,4.7,Arabic,No,https://www.edraak.org/course/تحليل-البيانات-باستخدام-Python
98,علم البيانات من الصفر,Udemy Arabia,خالد عبدالله,Data Science,Excel|SQL|Data Analysis,Intermediate,18 ساعة,99 جنيه,4.6,Arabic,No,https://www.udemy.com/ar/course/علم-البيانات-من-الصفر
99,مسار تحليل البيانات,Mahara-Tech,ITI Egypt,Data Science,Data Analysis|Tableau|Statistics,Intermediate,35 ساعة,مجاني,4.8,Arabic,Yes,https://maharatech.gov.eg/course/مسار-تحليل-البيانات
100,دبلومة علم البيانات,AMIT,AMIT Egypt,Data Science,Statistics|Tableau|Power BI,Beginner,3 أشهر,مدفوع,4.7,Arabic,Yes,https://amitlean.com/دبلومة-علم-البيانات
101,Power BI بالعربي,Udemy Arabia,محمد سالم,Data Science,SQL|Statistics|Tableau,Beginner,8 ساعات,79 جنيه,4.5,Arabic,No,https://www.udemy.com/ar/course/Power-BI-بالعربي
102,SQL للمبتدئين بالعربي,Udemy Arabia,أحمد فاروق,Data Science,R|Excel|Python,Beginner,6 ساعات,79 جنيه,4.6,Arabic,No,https://www.udemy.com/ar/course/SQL-للمبتدئين-بالعربي
103,Google Cybersecurity Certificate (Beginner),Coursera,Google,Cybersecurity,Python|Kali Linux|Linux,Beginner,6 months,Free,4.8,English,Yes,https://www.coursera.org/learn/google-cybersecurity-certificate
104,Google Cybersecurity Certificate (Intermediate),Coursera,Google,Cybersecurity,Penetration Testing|Linux|Metasploit|Firewalls|SIEM,Intermediate,6 months,Free,4.8,English,Yes,https://www.coursera.org/learn/google-cybersecurity-certificate
105,Google Cybersecurity Certificate (Advanced),Coursera,Google,Cybersecurity,Penetration Testing|Firewalls|Python|Ethical Hacking|Metasploit,Advanced,6 months,Free,4.7,English,Yes,https://www.coursera.org/learn/google-cybersecurity-certificate
106,IBM Cybersecurity Analyst Certificate (Beginner),Coursera,IBM,Cybersecurity,Python|Wireshark|SIEM|Firewalls,Beginner,8 months,Free,4.6,English,Yes,https://www.coursera.org/learn/ibm-cybersecurity-analyst-certificate
107,IBM Cybersecurity Analyst Certificate (Intermediate),Coursera,IBM,Cybersecurity,Wireshark|Penetration Testing|Python|Metasploit|Ethical Hacking,Intermediate,8 months,Free,4.6,English,Yes,https://www.coursera.org/learn/ibm-cybersecurity-analyst-certificate
108,IBM Cybersecurity Analyst Certificate (Advanced),Coursera,IBM,Cybersecurity,Python|Ethical Hacking|Wireshark|Penetration Testing,Advanced,8 months,Free,4.5,English,Yes,https://www.coursera.org/learn/ibm-cybersecurity-analyst-certificate
109,CompTIA Security+ Course (Beginner),Udemy,Jason Dion,Cybersecurity,Metasploit|Linux|Ethical Hacking|Python,Beginner,23 hours,$14.99,4.8,English,Yes,https://www.udemy.com/course/comptia-security+-course/
110,CompTIA Security+ Course (Intermediate),Udemy,Jason Dion,Cybersecurity,Firewalls|Kali Linux|SIEM,Intermediate,23 hours,$14.99,4.8,English,Yes,https://www.udemy.com/course/comptia-security+-course/
111,CompTIA Security+ Course (Advanced),Udemy,Jason Dion,Cybersecurity,Firewalls|Metasploit|Python|SIEM,Advanced,23 hours,$14.99,4.7,English,Yes,https://www.udemy.com/course/comptia-security+-course/
112,Learn Ethical Hacking from Scratch (Beginner),Udemy,Zaid Sabih,Cybersecurity,Firewalls|Linux|Network Security,Beginner,15 hours,$14.99,4.7,English,No,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
113,Learn Ethical Hacking from Scratch (Intermediate),Udemy,Zaid Sabih,Cybersecurity,Network Security|Metasploit|Wireshark|Firewalls,Intermediate,15 hours,$14.99,4.7,English,No,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
114,Learn Ethical Hacking from Scratch (Advanced),Udemy,Zaid Sabih,Cybersecurity,Penetration Testing|Linux|SIEM|Python,Advanced,15 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
115,The Complete Cyber Security Course (Beginner),Udemy,Nathan House,Cybersecurity,Firewalls|Python|Network Security|SIEM,Beginner,12 hours,$14.99,4.6,English,No,https://www.udemy.com/course/the-complete-cyber-security-course/
116,The Complete Cyber Security Course (Intermediate),Udemy,Nathan House,Cybersecurity,Firewalls|Kali Linux|Python|Ethical Hacking|Wireshark,Intermediate,12 hours,$14.99,4.6,English,Yes,https://www.udemy.com/course/the-complete-cyber-security-course/
117,The Complete Cyber Security Course (Advanced),Udemy,Nathan House,Cybersecurity,Linux|Network Security|Ethical Hacking|Metasploit,Advanced,12 hours,$14.99,4.5,English,No,https://www.udemy.com/course/the-complete-cyber-security-course/
118,Penetration Testing and Ethical Hacking (Beginner),Coursera,EC-Council,Cybersecurity,Python|Kali Linux|Network Security,Beginner,4 months,Free,4.6,English,Yes,https://www.coursera.org/learn/penetration-testing-and-ethical-hacking
119,Penetration Testing and Ethical Hacking (Intermediate),Coursera,EC-Council,Cybersecurity,Firewalls|Metasploit|SIEM|Python,Intermediate,4 months,Free,4.6,English,Yes,https://www.coursera.org/learn/penetration-testing-and-ethical-hacking
120,Penetration Testing and Ethical Hacking (Advanced),Coursera,EC-Council,Cybersecurity,Metasploit|Firewalls|Wireshark|Penetration Testing,Advanced,4 months,Free,4.5,English,Yes,https://www.coursera.org/learn/penetration-testing-and-ethical-hacking
121,Cybersecurity Fundamentals (Beginner),edX,MIT,Cybersecurity,Wireshark|Ethical Hacking|Python|Network Security,Beginner,8 weeks,Free,4.8,English,Yes,https://www.edx.org/course/cybersecurity-fundamentals
122,Cybersecurity Fundamentals (Intermediate),edX,MIT,Cybersecurity,Penetration Testing|Network Security|Metasploit|Ethical Hacking|Python,Intermediate,8 weeks,Free,4.8,English,Yes,https://www.edx.org/course/cybersecurity-fundamentals
123,Cybersecurity Fundamentals (Advanced),edX,MIT,Cybersecurity,Network Security|Linux|SIEM,Advanced,8 weeks,Free,4.7,English,Yes,https://www.edx.org/course/cybersecurity-fundamentals
